family,deployable,feature_count,target_variant,alpha,scheme,query_rate,raw_gain,adjusted_gain,rescues,harms,rescue_vs_harm_auc,effect_spearman,worst_cell_adjusted_gain,quintile_monotonic_rho,quintile_top_minus_bottom
relative_object_spatial,True,192,direct_success,0.01,leave_one_task,0.2,-0.0109375,-0.0159374999999999,12,19,0.4753989361702128,-0.0167964768302418,-0.135625,-0.8207826816681233,-0.0625
relative_object_spatial,True,192,direct_terminal_utility,0.01,leave_one_task,0.2,-0.0109375,-0.0159374999999999,13,20,0.4865691489361702,-0.0094916253631299,-0.1099999999999999,-0.4999999999999999,-0.0546875
relative_object_spatial,True,192,direct_grounded,0.01,leave_one_task,0.2,-0.0109375,-0.0159375,12,19,0.4859042553191489,-0.0089902073486627,-0.135625,-0.6668859288553501,-0.0546875
relative_object_spatial,True,192,potential_success,0.01,leave_one_task,0.2,-0.0078125,-0.0128124999999999,13,18,0.5509308510638298,0.0509836580639721,-0.1937499999999999,0.0999999999999999,0.109375
relative_object_spatial,True,192,direct_success,0.01,leave_one_level,0.2,-0.015625,-0.0206249999999999,14,24,0.363031914893617,-0.1226486532504549,-0.1587499999999999,-0.9746794344808964,-0.15625
relative_object_spatial,True,192,direct_terminal_utility,0.01,leave_one_level,0.2,-0.0171875,-0.0221874999999999,13,24,0.3722074468085106,-0.115871502150739,-0.1356249999999999,-0.7999999999999999,-0.140625
relative_object_spatial,True,192,direct_grounded,0.01,leave_one_level,0.2,-0.015625,-0.0206249999999999,14,24,0.369813829787234,-0.1188574238404945,-0.1356249999999999,-0.5642880936468347,-0.140625
relative_object_spatial,True,192,potential_success,0.01,leave_one_level,0.2,-0.0125,-0.0174999999999999,14,22,0.4027925531914894,-0.0915775734858299,-0.1681249999999999,-0.8999999999999998,-0.125
relative_object_spatial,True,192,direct_success,0.01,leave_one_cell,0.2,-0.00625,-0.0112499999999999,13,17,0.3932180851063829,-0.0945815642932238,-0.1324999999999999,-0.3999999999999999,-0.15625
relative_object_spatial,True,192,direct_terminal_utility,0.01,leave_one_cell,0.2,-0.009375,-0.0143749999999999,13,19,0.3954787234042553,-0.0944378326756452,-0.1099999999999999,-0.8720815992723809,-0.1640625
relative_object_spatial,True,192,direct_grounded,0.01,leave_one_cell,0.2,-0.0125,-0.0174999999999999,12,20,0.3929521276595745,-0.0978027951740438,-0.158125,-0.4999999999999999,-0.1953125
relative_object_spatial,True,192,potential_success,0.01,leave_one_cell,0.2,-0.00625,-0.0112499999999999,13,17,0.4775265957446808,-0.0115666992592012,-0.1931249999999999,-0.0999999999999999,0.015625
relative_object_spatial,True,192,direct_success,0.1,leave_one_task,0.2,-0.00625,-0.01125,13,17,0.4829787234042553,-0.014131281978569,-0.11125,0.0999999999999999,0.0234375
relative_object_spatial,True,192,direct_terminal_utility,0.1,leave_one_task,0.2,-0.009375,-0.0143749999999999,13,19,0.4918882978723404,-0.0069537356584554,-0.135625,-0.2051956704170308,0.0
relative_object_spatial,True,192,direct_grounded,0.1,leave_one_task,0.2,-0.0109375,-0.0159374999999999,12,19,0.4944148936170213,-0.0054909584532692,-0.135625,-0.3999999999999999,-0.0234375
relative_object_spatial,True,192,potential_success,0.1,leave_one_task,0.2,-0.0046875,-0.0096874999999999,15,18,0.513563829787234,0.0166593158008953,-0.1412499999999999,0.1999999999999999,0.0703125
relative_object_spatial,True,192,direct_success,0.1,leave_one_level,0.2,-0.0203125,-0.0253124999999999,12,25,0.3501329787234042,-0.1315173047168226,-0.1825,-0.8999999999999998,-0.234375
relative_object_spatial,True,192,direct_terminal_utility,0.1,leave_one_level,0.2,-0.0171875,-0.0221874999999999,13,24,0.3551861702127659,-0.1267400764102725,-0.1556249999999999,-0.7,-0.1953125
