quintile,states,mean_effect,mean_score,family,target_variant,alpha,scheme
3,128,-0.0078125,0.1892683888545706,relative_object_global,direct_success,0.01,leave_one_cell
4,128,-0.125,0.5367203727944897,relative_object_global,direct_success,0.01,leave_one_cell
0,128,0.1171875,-0.4610274042117186,relative_object_global,direct_terminal_utility,0.01,leave_one_cell
1,128,-0.046875,-0.1934418373158677,relative_object_global,direct_terminal_utility,0.01,leave_one_cell
2,128,-0.046875,0.001223560626071,relative_object_global,direct_terminal_utility,0.01,leave_one_cell
3,128,0.046875,0.1786675965123466,relative_object_global,direct_terminal_utility,0.01,leave_one_cell
4,128,-0.1796875,0.5067637753735827,relative_object_global,direct_terminal_utility,0.01,leave_one_cell
0,128,0.1171875,-0.5538389020382187,relative_object_global,direct_grounded,0.01,leave_one_cell
1,128,-0.0703125,-0.2441966680884376,relative_object_global,direct_grounded,0.01,leave_one_cell
2,128,-0.0078125,-0.0112151110188472,relative_object_global,direct_grounded,0.01,leave_one_cell
3,128,0.03125,0.2023666445545219,relative_object_global,direct_grounded,0.01,leave_one_cell
4,128,-0.1796875,0.6006482020302879,relative_object_global,direct_grounded,0.01,leave_one_cell
0,128,0.0078125,-0.3716460677693662,relative_object_global,potential_success,0.01,leave_one_cell
1,128,-0.0546875,-0.0761803663400141,relative_object_global,potential_success,0.01,leave_one_cell
2,128,-0.03125,0.0146332603086003,relative_object_global,potential_success,0.01,leave_one_cell
3,128,0.0078125,0.1388341530805599,relative_object_global,potential_success,0.01,leave_one_cell
4,128,-0.0390625,0.4516761078185184,relative_object_global,potential_success,0.01,leave_one_cell
0,128,0.046875,-0.5450770290176811,relative_object_global,direct_success,0.1,leave_one_task
1,128,-0.0390625,-0.2681524310969091,relative_object_global,direct_success,0.1,leave_one_task
2,128,-0.03125,-0.074072552581118,relative_object_global,direct_success,0.1,leave_one_task
3,128,0.0,0.1308259807269193,relative_object_global,direct_success,0.1,leave_one_task
4,128,-0.0859375,0.5166053261408551,relative_object_global,direct_success,0.1,leave_one_task
0,128,0.0390625,-0.5081803241571659,relative_object_global,direct_terminal_utility,0.1,leave_one_task
1,128,-0.0234375,-0.2636443566452605,relative_object_global,direct_terminal_utility,0.1,leave_one_task
2,128,-0.03125,-0.0870082460366121,relative_object_global,direct_terminal_utility,0.1,leave_one_task
3,128,0.015625,0.1112859863153388,relative_object_global,direct_terminal_utility,0.1,leave_one_task
4,128,-0.109375,0.482908390893551,relative_object_global,direct_terminal_utility,0.1,leave_one_task
0,128,0.0625,-0.5979772745314826,relative_object_global,direct_grounded,0.1,leave_one_task
1,128,-0.0390625,-0.3124255166830739,relative_object_global,direct_grounded,0.1,leave_one_task
2,128,-0.0234375,-0.1182183351241732,relative_object_global,direct_grounded,0.1,leave_one_task
3,128,0.015625,0.1224507546522821,relative_object_global,direct_grounded,0.1,leave_one_task
4,128,-0.125,0.568525152615285,relative_object_global,direct_grounded,0.1,leave_one_task
0,128,-0.1171875,-0.3510905428468923,relative_object_global,potential_success,0.1,leave_one_task
1,128,0.046875,-0.147808310907607,relative_object_global,potential_success,0.1,leave_one_task
2,128,-0.1015625,-0.0260347560881982,relative_object_global,potential_success,0.1,leave_one_task
3,128,0.046875,0.0649980400181525,relative_object_global,potential_success,0.1,leave_one_task
4,128,0.015625,0.2821491281039309,relative_object_global,potential_success,0.1,leave_one_task
