seed_group,id,factor,terminal_success,observations,supported_target,physical_interventions,localization_valid_observations,localization_valid_episode,close_near_observations,close_near_episode,grasp_attempt_observations,grasp_attempt_episode,mask_miss_observations,mask_miss_episode,attempt_and_miss_observations,attempt_and_miss_episode,persistent_miss_observations,persistent_miss_episode,persistent_miss_and_geometry_observations,persistent_miss_and_geometry_episode
0,environment__t7_i4,Environment,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t8_i4,Object,True,38,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t8_i4,Environment,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t9_i4,Object,True,31,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t9_i4,Environment,True,30,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t0_i5,Object,False,70,False,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t0_i5,Environment,False,70,False,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t1_i5,Object,True,32,True,0,7,True,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t1_i5,Environment,True,37,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t2_i5,Object,True,30,True,0,1,True,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t2_i5,Environment,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t3_i5,Object,True,32,False,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t3_i5,Environment,False,70,False,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t4_i5,Object,True,36,True,0,7,True,1,True,16,True,0,False,0,False,0,False,0,False
0,environment__t4_i5,Environment,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t5_i5,Object,True,35,True,0,17,True,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t5_i5,Environment,True,29,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t6_i5,Object,True,37,True,0,32,True,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t6_i5,Environment,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t7_i5,Object,True,33,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t7_i5,Environment,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t8_i5,Object,True,37,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t8_i5,Environment,True,32,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t9_i5,Object,True,33,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t9_i5,Environment,True,29,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t0_i6,Object,True,32,False,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t0_i6,Environment,False,70,False,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t1_i6,Object,True,31,True,0,2,True,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t1_i6,Environment,True,37,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t2_i6,Object,True,32,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t2_i6,Environment,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t3_i6,Object,True,31,False,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t3_i6,Environment,True,50,False,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t4_i6,Object,True,35,True,0,35,True,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t4_i6,Environment,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t5_i6,Object,True,32,True,0,19,True,0,False,0,False,3,True,0,False,0,False,0,False
0,environment__t5_i6,Environment,True,29,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t6_i6,Object,True,37,True,0,31,True,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t6_i6,Environment,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t7_i6,Object,True,34,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t7_i6,Environment,True,45,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t8_i6,Object,True,35,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t8_i6,Environment,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,object__t9_i6,Object,True,31,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
0,environment__t9_i6,Environment,False,70,True,0,0,False,0,False,0,False,0,False,0,False,0,False,0,False
