variant,metric,risk_lambda,candidate_spearman,snapshots,selection_change_rate,baseline_residual_mean,selected_residual_mean,pooled_residual_delta,pooled_relative_delta,environment_residual_delta,object_residual_delta,position_residual_delta,worst_factor_residual_delta
mean_mse_shared,epistemic_mean,0.5,0.5963807771351807,391,0.21994884910485935,1.0826671750039396,1.0757254862114596,-0.0069416887924799225,-0.006411655357016493,-0.004660895507260145,-0.005506863594055176,-0.01338029096001073,-0.004660895507260145
mean_mse_shared,epistemic_mean,1.0,0.5963807771351807,391,0.4219948849104859,1.0826671750039396,1.0716501264011158,-0.01101704860282371,-0.010175840606586805,-0.005431438733010271,-0.013541133403778076,-0.02201824250974153,-0.005431438733010271
mean_mse_shared,epistemic_mean,2.0,0.5963807771351807,391,0.59846547314578,1.0826671750039396,1.0687741086915936,-0.013893066312346007,-0.012832259657540143,-0.005501239278197828,-0.011406916777292888,-0.03537785567735371,-0.005501239278197828
mean_mse_shared,predicted_mean_residual_rms,0.25,0.38516604341592603,391,0.11253196930946291,1.0826671750039396,1.0796040272163918,-0.003063147787547782,-0.002829260790636454,-0.0024031991332904247,-0.0004578471183776855,-0.0066552130799544485,-0.0004578471183776855
mean_mse_shared,predicted_mean_residual_rms,0.5,0.38516604341592603,391,0.22250639386189258,1.0826671750039396,1.077771198719054,-0.0048959762848856505,-0.004522143460078426,-0.005429364976839782,0.00033783912658691406,-0.0077871052842391165,0.00033783912658691406
mean_mse_shared,predicted_mean_residual_rms,1.0,0.38516604341592603,391,0.4194373401534527,1.0826671750039396,1.0722296774539801,-0.01043749754995946,-0.009640541240129018,-0.005771009900451246,-0.0025495584805806477,-0.027520541768325003,-0.0025495584805806477
mean_mse_shared,predicted_mean_residual_rms,2.0,0.38516604341592603,391,0.5805626598465473,1.0826671750039396,1.0701438418739593,-0.012523333129980375,-0.011567112607745594,-0.005616647895105284,-0.002788393497467041,-0.03627594270204243,-0.002788393497467041
mean_mse_shared,mean_plus_epistemic_rms,0.25,0.47913845441529507,391,0.11764705882352941,1.0826671750039396,1.0792606649801249,-0.003406510023814638,-0.0031464055643898527,-0.002397929920869715,-0.0007851068178812662,-0.00782231468903391,-0.0007851068178812662
mean_mse_shared,mean_plus_epistemic_rms,0.5,0.47913845441529507,391,0.21994884910485935,1.0826671750039396,1.0766937247932415,-0.00597345021069812,-0.0055173467420182795,-0.0047678478163291965,-0.00272521177927653,-0.011342460858194452,-0.00272521177927653
mean_mse_shared,mean_plus_epistemic_rms,1.0,0.47913845441529507,391,0.4219948849104859,1.0826671750039396,1.0729485077931142,-0.009718667210825264,-0.008976597273109253,-0.005544368767630461,-0.0033487629890441893,-0.024458275343242443,-0.0033487629890441893
mean_mse_shared,mean_plus_epistemic_rms,2.0,0.47913845441529507,391,0.578005115089514,1.0826671750039396,1.0676448025057077,-0.015022372498231776,-0.01387533754145369,-0.005770896085247195,-0.013613640467325846,-0.03765638502020585,-0.005770896085247195
