planning_strategy,planning_risk_lambda,suite,task_id,init_state_id,episodes,successes,success_rate,mean_final_t,selected_not_max_value_rate
max_value_disagreement_requery,1.0,libero_object_env,8,5,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,8,5,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,8,6,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,8,6,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,8,7,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,8,7,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,8,8,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,8,8,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,8,9,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,8,9,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,9,0,1,1,1.0,97.0,0.0
max_value_random_requery_43,0.0,libero_object_env,9,0,1,1,1.0,126.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,9,1,1,1,1.0,225.0,0.0
max_value_random_requery_43,0.0,libero_object_env,9,1,1,1,1.0,183.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,9,2,1,0,0.0,280.0,0.0
max_value_random_requery_43,0.0,libero_object_env,9,2,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,9,3,1,1,1.0,117.0,0.0
max_value_random_requery_43,0.0,libero_object_env,9,3,1,1,1.0,111.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,9,4,1,1,1.0,143.0,0.0
max_value_random_requery_43,0.0,libero_object_env,9,4,1,1,1.0,162.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,9,5,1,1,1.0,120.0,0.0
max_value_random_requery_43,0.0,libero_object_env,9,5,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,9,6,1,1,1.0,119.0,0.0
max_value_random_requery_43,0.0,libero_object_env,9,6,1,1,1.0,113.0,0.0
max_value_random_requery_43,0.0,libero_object_env,9,7,1,1,1.0,112.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,9,7,1,0,0.0,280.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,9,8,1,1,1.0,117.0,0.0
max_value_random_requery_43,0.0,libero_object_env,9,8,1,1,1.0,106.0,0.0
max_value_disagreement_requery,1.0,libero_object_env,9,9,1,1,1.0,107.0,0.0
max_value_random_requery_43,0.0,libero_object_env,9,9,1,1,1.0,113.0,0.0
