family,feature_count,target_variant,alpha,scheme,budget,query_rate,raw_gain,adjusted_gain,rescues,harms,rescue_vs_harm_auc,effect_spearman,worst_cell_adjusted_gain,quintile_monotonic_rho,quintile_top_minus_bottom
relative_control,80,direct_grounded,10.0,leave_one_cell,0.2,0.2,-0.0046875,-0.009687499999999996,13,16,0.46808510638297873,-0.02166815734262929,-0.08624999999999998,-0.6,-0.015625
relative_control,80,direct_grounded,10.0,leave_one_cell,0.3,0.3,-0.01875,-0.026249999999999996,18,30,0.46808510638297873,-0.02166815734262929,-0.20999999999999996,-0.6,-0.015625
relative_control,80,ridge_potential_success,0.01,leave_one_cell,0.1,0.1,0.0046875,0.002187500000000001,9,6,0.4509308510638298,-0.03200825262209284,-0.07874999999999999,-0.49999999999999994,-0.0390625
relative_control,80,ridge_potential_success,0.01,leave_one_cell,0.2,0.2,-0.0015625,-0.0065624999999999946,14,15,0.4509308510638298,-0.03200825262209284,-0.13249999999999998,-0.49999999999999994,-0.0390625
relative_control,80,ridge_potential_success,0.01,leave_one_cell,0.3,0.3,-0.0171875,-0.02468749999999999,19,30,0.4509308510638298,-0.03200825262209284,-0.2125,-0.49999999999999994,-0.0390625
relative_control,80,ridge_potential_success,0.1,leave_one_cell,0.1,0.1,0.00625,0.003749999999999999,8,4,0.4566489361702128,-0.02775913849733039,-0.053125,-0.41039134083406165,-0.0625
relative_control,80,ridge_potential_success,0.1,leave_one_cell,0.2,0.2,-0.0078125,-0.012812499999999996,13,18,0.4566489361702128,-0.02775913849733039,-0.13124999999999998,-0.41039134083406165,-0.0625
relative_control,80,ridge_potential_success,0.1,leave_one_cell,0.3,0.3,-0.021875,-0.029374999999999995,16,30,0.4566489361702128,-0.02775913849733039,-0.21249999999999997,-0.41039134083406165,-0.0625
relative_control,80,ridge_potential_success,1.0,leave_one_cell,0.1,0.1,0.009375,0.006874999999999999,9,3,0.46402925531914896,-0.02328247763692545,-0.028749999999999998,-0.6,-0.0390625
relative_control,80,ridge_potential_success,1.0,leave_one_cell,0.2,0.2,-0.009375,-0.014374999999999999,12,18,0.46402925531914896,-0.02328247763692545,-0.11124999999999999,-0.6,-0.0390625
relative_control,80,ridge_potential_success,1.0,leave_one_cell,0.3,0.3,-0.01875,-0.02624999999999999,17,29,0.46402925531914896,-0.02328247763692545,-0.2375,-0.6,-0.0390625
