case_id,baseline_strategy_id,strategy_id,paired_rollouts,baseline_successes,strategy_successes,baseline_success_rate,strategy_success_rate,delta_success_rate,wins,losses,ties,mcnemar_exact_p,baseline_mean_queries,mean_queries,query_overhead_ratio,actual_query_count_ratio,mean_rerank_rate,mean_gate_rate,mean_requery_rate,mean_surrogate_alarm_rate,mean_selected_open_loop_steps
yellow_task8_init0_surrogate_screen,action_l1,phase_surrogate_l1_r0.3_e0.0884176756291_h8,8,2,3,0.25,0.375,0.125,2,1,5,1.0,12.5,16.375,1.318452380952381,1.31,0.31063596491228074,0.75046992481203,0.45150375939849624,0.45150375939849624,12.38796992481203
yellow_task8_init0_surrogate_screen,action_l1,phase_surrogate_l1_r0.3_e0.146849980679_h8,8,2,3,0.25,0.375,0.125,2,1,5,1.0,12.5,14.0,1.125,1.12,0.23093341503267975,0.571078431372549,0.18331290849673204,0.18331290849673204,14.533496732026144
yellow_task8_init0_surrogate_screen,action_l1,phase_surrogate_l1_r0.5_e0.0884176756291_h8,8,2,3,0.25,0.375,0.125,2,1,5,1.0,12.5,16.0,1.2916666666666665,1.28,0.3388572534276869,0.8199865472504791,0.4132684652808492,0.4132684652808492,12.693852277753205
yellow_task8_init0_surrogate_screen,action_l1,requery_l1_h8,8,2,4,0.25,0.5,0.25,2,0,6,0.5,12.5,13.875,1.3303571428571428,1.11,0.4215797682709448,0.0,0.4215797682709448,0.2685457516339869,12.627361853832442
yellow_task8_init0_surrogate_screen,action_l1,surrogate_disagreement_l1_e0.0884176756291_h8,8,2,3,0.25,0.375,0.125,2,1,5,1.0,12.5,13.25,1.0714285714285712,1.06,0.36993464052287583,1.0,0.11020220588235294,0.36721813725490193,15.118382352941175
yellow_task8_init0_surrogate_screen,action_l1,surrogate_gate_l1_e0.0630054843163_h8,8,2,4,0.25,0.5,0.25,3,1,4,0.625,12.5,16.125,1.3757440476190477,1.29,0.2243867243867244,0.5340909090909091,0.5340909090909091,0.5340909090909091,11.727272727272727
yellow_task8_init0_surrogate_screen,action_l1,surrogate_gate_l1_e0.0884176756291_h8,8,2,4,0.25,0.5,0.25,3,1,4,0.625,12.5,14.75,1.2787698412698414,1.18,0.16764354066985646,0.3717105263157895,0.3717105263157895,0.3717105263157895,13.026315789473685
yellow_task8_init0_surrogate_screen,action_l1,surrogate_gate_l1_e0.146849980679_h8,8,2,2,0.25,0.25,0.0,1,1,6,1.0,12.5,15.125,1.1696428571428572,1.21,0.10789419934640525,0.25954861111111116,0.25954861111111116,0.25954861111111116,13.92361111111111
yellow_task8_init0_surrogate_screen,action_l1,surrogate_horizon_l1_e0.0630054843163_h8,8,2,5,0.25,0.625,0.375,4,1,3,0.375,12.5,15.5,1.3799603174603177,1.24,0.46043019480519476,1.0,0.5189393939393939,0.5189393939393939,11.848484848484848
yellow_task8_init0_surrogate_screen,action_l1,surrogate_horizon_l1_e0.0884176756291_h8,8,2,3,0.25,0.375,0.125,2,1,5,1.0,12.5,16.0,1.2916666666666665,1.28,0.4301737800383312,1.0,0.4206214064573198,0.4206214064573198,12.63502874834144
yellow_task8_init0_surrogate_screen,action_l1,surrogate_horizon_l1_e0.146849980679_h8,8,2,2,0.25,0.25,0.0,0,0,8,1.0,12.5,14.5,1.1428571428571428,1.16,0.42992046599341494,1.0,0.1957607714138287,0.1957607714138287,14.43391382868937
