source_run,strategy_id,case_id,suite,task_id,init_state_id,rollout_seed,planning_strategy,planning_risk_lambda,planning_difficulty_threshold,planning_value_margin,planning_uncertainty_margin,planning_phase_fraction,planning_short_open_loop_steps,planning_surrogate_error_threshold,experiment_split,num_open_loop_steps,success,final_t,num_queries,failure_type,target_drop_candidate,wrong_object_interaction_candidate,num_queries_observed,rerank_rate,gate_rate,requery_rate,surrogate_alarm_rate,mean_selected_open_loop_steps,nominal_queries_for_executed_steps,query_compute_ratio
surrogate_screening_20260819/surrogate_screening_20260819__long_milk__core_controls__libero_10_with_milk__task9__init0__uncertainty_penalty_action__l1p0,action_l1,long_milk_task9_init0_surrogate_screen,libero_10_with_milk,9,0,850388,uncertainty_penalty_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,240,15,success,False,False,15,0.33333333333333337,0.0,0.0,0.0,16.0,15.0,1.0
surrogate_screening_20260819/surrogate_screening_20260819__long_milk__core_controls__libero_10_with_milk__task9__init0__uncertainty_penalty_action__l1p0,action_l1,long_milk_task9_init0_surrogate_screen,libero_10_with_milk,9,0,850485,uncertainty_penalty_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,262,17,success,False,False,17,0.7058823529411764,0.0,0.0,0.11764705882352941,16.0,17.0,1.0
surrogate_screening_20260819/surrogate_screening_20260819__long_milk__core_controls__libero_10_with_milk__task9__init0__uncertainty_penalty_action__l1p0,action_l1,long_milk_task9_init0_surrogate_screen,libero_10_with_milk,9,0,850582,uncertainty_penalty_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,251,16,success,False,False,16,0.375,0.0,0.0,0.0,16.0,16.0,1.0
surrogate_screening_20260819/surrogate_screening_20260819__long_milk__core_controls__libero_10_with_milk__task9__init0__uncertainty_penalty_action__l1p0,action_l1,long_milk_task9_init0_surrogate_screen,libero_10_with_milk,9,0,850679,uncertainty_penalty_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,259,17,success,False,False,17,0.4117647058823529,0.0,0.0,0.058823529411764705,16.0,17.0,1.0
surrogate_screening_20260819/surrogate_screening_20260819__long_milk__core_surrogate__libero_10_with_milk__task9__init0__phase_surrogate_requery_action__l1p0,phase_surrogate_l1_r0.3_e0.0884176756291_h8,long_milk_task9_init0_surrogate_screen,libero_10_with_milk,9,0,850000,phase_surrogate_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,264,17,success,False,False,17,0.5294117647058824,0.6470588235294118,0.058823529411764705,0.058823529411764705,15.529411764705882,17.0,1.0
surrogate_screening_20260819/surrogate_screening_20260819__long_milk__core_surrogate__libero_10_with_milk__task9__init0__phase_surrogate_requery_action__l1p0,phase_surrogate_l1_r0.3_e0.0884176756291_h8,long_milk_task9_init0_surrogate_screen,libero_10_with_milk,9,0,850097,phase_surrogate_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,241,16,success,False,False,16,0.4375,0.6875,0.0625,0.0625,15.5,16.0,1.0
surrogate_screening_20260819/surrogate_screening_20260819__long_milk__core_surrogate__libero_10_with_milk__task9__init0__phase_surrogate_requery_action__l1p0,phase_surrogate_l1_r0.3_e0.0884176756291_h8,long_milk_task9_init0_surrogate_screen,libero_10_with_milk,9,0,850194,phase_surrogate_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,263,17,success,False,False,17,0.3529411764705882,0.6470588235294118,0.058823529411764705,0.058823529411764705,15.529411764705882,17.0,1.0
surrogate_screening_20260819/surrogate_screening_20260819__long_milk__core_surrogate__libero_10_with_milk__task9__init0__phase_surrogate_requery_action__l1p0,phase_surrogate_l1_r0.3_e0.0884176756291_h8,long_milk_task9_init0_surrogate_screen,libero_10_with_milk,9,0,850291,phase_surrogate_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,261,17,success,False,False,17,0.4117647058823529,0.6470588235294118,0.058823529411764705,0.058823529411764705,15.529411764705882,17.0,1.0
surrogate_screening_20260819/surrogate_screening_20260819__long_milk__core_surrogate__libero_10_with_milk__task9__init0__phase_surrogate_requery_action__l1p0,phase_surrogate_l1_r0.3_e0.0884176756291_h8,long_milk_task9_init0_surrogate_screen,libero_10_with_milk,9,0,850388,phase_surrogate_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,True,246,16,success,False,False,16,0.25,0.625,0.0,0.0,16.0,16.0,1.0
surrogate_screening_20260819/surrogate_screening_20260819__long_milk__core_surrogate__libero_10_with_milk__task9__init0__phase_surrogate_requery_action__l1p0,phase_surrogate_l1_r0.3_e0.0884176756291_h8,long_milk_task9_init0_surrogate_screen,libero_10_with_milk,9,0,850485,phase_surrogate_requery_action,1.0,0.088588,0.002,0.0,0.3,8.0,0.08841767562905925,calibration,16,False,520,46,kinematic_deadlock_candidate,False,False,46,0.32608695652173914,0.8043478260869565,0.5869565217391305,0.5869565217391305,11.304347826086957,33.0,1.393939393939394
